     stars                            name                                                      homepage
132      0                  rctorchprivate                 https://github.com/blindedjoy/RcTorch-private
131      0                       gw-chirpy                 https://gitlab.com/SpaceTimeKhantinuum/chirpy
130      0         canvs-toolbox-canvsUser               https://github.com/dbproductionsLTD/canvs_tools
136      0          discern-reconstruction       https://discern.readthedocs.io/en/latest/quickinfo.html
159      0              Task-4-5-Maihitooy                                                          None
151      0                 rctorch-private                 https://github.com/blindedjoy/RcTorch-private
144      0                        pyIcarus                           https://github.com/cessna85/Beaches
145      0                         autonml            https://gitlab.com/autonlab/d3m/autonml/-/tree/dev
158      0                           nextc                                                          None
146      0                          EPRsim              https://www.radicals.uni-freiburg.de/de/software
147      0               pytigon-batteries                                                          None
157      0                         ml-init                                                          None
156      0             hbac-bias-detection                                                          None
155      0                training-grounds                                                          None
148      0                        relionai                        https://github.com/mo-messidi/relionai
149      0                        sphynxml                                                          None
154      0                             mpk                                       https://hg.rwest.io/mpk
153      0                  bio-embeddings                                                          None
150      0                  elfragmentador                                                          None
128      0                            rio3                      https://code.aliyun.com/xuanye_libs/rio3
129      0                          medtop                         https://github.com/etfrenchvcu/medtop
109      0                   htmltable-cli                  https://github.com/FarisHijazi/htmltable-cli
127      0                          scimap                              https://pypi.org/project/scimap/
5        0                           numba                                      https://numba.pydata.org
99       0                         rctorch                 https://github.com/blindedjoy/RcTorch-private
96       0                       cooptools                     https://github.com/tylertjburns/cooptools
93       0                       coopgraph                     https://github.com/tylertjburns/coopgraph
91       0                       yapayzeka                          https://github.com/oguz687/yapayzeka
88       0                      projectowl                       https://github.com/flyfj/projectowl.git
87       0                   zinv-analysis                 https://github.com/shane-breeze/zinv-analysis
77       0           python-audio-autotest                       https://github.com/HW-Lee/AudioAutoTest
126      0              pylops-distributed                                                          None
71       0       zoo-animal-classification                https://github.com/yijiaceline/CSF-project.git
68       0                    soundfactory                       https://gitlab.com/babaMar/soundfactory
50       0                          pylops                                                          None
62       0                     quartic-sdk                      https://github.com/Quarticai/QuarticSDK/
60       0                        Mathics3                                          https://mathics.org/
58       0                         inferlo                            https://github.com/InferLO/inferlo
104      0                           vadtk                         https://github.com/hebinhao1993/VADTK
105      0           animal-classification                https://github.com/yijiaceline/CSF-project.git
107      0                picked-group-fdr                 https://github.com/kusterlab/picked_group_fdr
108      0                        xanathar       https://bitbucket.org/xanathardevs/xanathar/src/master/
111      0               pymathics-natlang                                                          None
113      0                            adso                                  https://github.com/TnTo/adso
115      0                      pyproximal                                                          None
116      0                 NumbaSummarizer                   https://github.com/neftaliw/NumbaSummarizer
117      0                    SIMDprofiler                      https://github.com/neftaliw/SIMDprofiler
118      0                         rsnaped                        https://github.com/MunskyGroup/rsnaped
119      0                            qwgc                              https://Chibikuri.github.io/qwgc
120      0             python-polar-coding               https://github.com/fr0mhell/python-polar-coding
121      0                     tensionflow                       https://github.com/Curly-Mo/tensionflow
122      0                     wilddrummer                  https://github.com/onebotstudio/wild-drummer
123      0                         whylogs                                       https://docs.whylabs.ai
124      0                      AltAnalyze                                     http://www.altanalyze.org
125      0                    clustertools                                                          None
162      0                        audiossl                                                          None
